CustomerID,Name,Region,JoinDate,RewardPoints,RewardLevel
1000,Robert Gomez,West,2/25/2024,461774,Platinum
1001,John Silva,East,12/1/2020,361974,Platinum
1002,Mark Marshall,Central,8/8/2020,238795,Silver
1003,David Brennan,North,5/21/2020,358344,Platinum
1004,Kerry Collins,North,9/12/2023,115318,Silver
1005,Jessica Mora,South,8/5/2021,13802,Bronze
1005,Jessica Mora,South,8/5/2021,218168,Silver
1006,Hannah Ray,West,7/3/2021,282752,Silver
1007,David Kim,West,5/20/2020,188288,Silver
1008,William Ramirez,East,9/15/2023,317837,Platinum
1009,Zachary Bell Jr.,East,4/20/2023,15765,Bronze
1010,Mike Davis,East,3/23/2022,85625,Bronze
1011,Amanda Myers,West,9/5/2021,216689,Silver
1012,Tara Miller,North,8/10/2020,295669,Silver
1013,Alyssa Morgan,North,7/22/2022,354294,Platinum
1014,Cindy Woods,East,4/2/2024,274524,Silver
1015,Jennifer Rodgers,North,2/12/2023,86133,Bronze
1016,Andrea Roberts,East,5/16/2021,273302,Silver
1017,Brittney Burnett,North,7/3/2020,173285,Silver
1018,Edwin Garrison,South-West,8/31/2020,340603,Platinum
1019,Michelle Torres,Central,11/18/2020,58292,Bronze
1020,Michelle Brewer,East,7/14/2021,109985,Silver
1021,Aaron Burnett,South,2/13/2024,327099,Platinum
1022,Austin Gutierrez,East,11/25/2021,105633,Silver
1023,Dustin Medina,East,6/14/2021,392817,Platinum
1024,Andres Avila,Central,9/19/2022,359987,Platinum
1025,Garrett Lewis,South,8/4/2023,158811,Silver
1026,Gary Walls,North,10/5/2023,100475,Silver
1027,Anthony Schroeder,East,10/4/2020,293795,Silver
1028,Haley Wagner,West,11/3/2023,94424,Bronze
1029,Gina Powers,West,10/26/2022,90395,Bronze
1030,Alice Robinson,East,8/6/2021,171609,Silver
1031,Jessica Frazier,West,10/20/2021,146899,Silver
1032,Terri Long,East,10/23/2022,383986,Platinum
1033,Paul Perkins,East,3/16/2022,168293,Silver
1034,Heather Smith,Central,9/16/2022,38552,Bronze
1035,Lorraine Rodriguez,East,9/26/2022,398421,Platinum
1036,Robert Bishop,South-West,9/14/2020,327091,Platinum
1037,Lisa Sanders,West,6/3/2020,68104,Bronze
1038,Jason Ford,East,10/9/2023,48623,Bronze
1039,Brandy Good,West,5/21/2023,272045,Silver
1040,Angel Lee,Central,4/8/2022,149144,Silver
1041,David Beltran,East,1/18/2021,271701,Silver
1042,Christopher Dodson,North,10/30/2023,269822,Silver
1043,Eric Pena,West,6/30/2022,361063,Platinum
1044,Anita Huerta,East,4/8/2022,225789,Silver
1045,Dr. Susan Bailey,North,10/2/2020,196217,Silver
1046,Tyler Colon,Central,3/3/2021,29042,Bronze
